hotelcode,hotelname,pricemin,pricemax
385680,Hotel Ristorante Villa Palma,70.33,168.78
385809,Les Etangs de Guibert,85.39,130.6
385875,Hotel Odejewscy,30.93,42.83
386222,Hotel Notre Dame,61.28,95.44
386257,Orzi Hotel,41.55,72.1
386504,La Olivera,94.94,94.94
386522,El Senorio De La Serrezuela,95.44,190.88
386527,Pelikan,32.12,52.35
386626,Hotel Amenal,54.25,54.25
386649,Hotel The Originals Belfort Sud Le Louisiane (ex Inter-Hotel),54.25,94.43
386802,Les Glycines,43.2,78.36
387208,Fenyves Wellness Hotel Bekescsaba,40.27,49.64
387221,Domaine Riberach,165.76,370.41
387395,Emmet House,58.42,170.39
387428,Hotel L'Abri,59.28,59.28
387473,Patyi Etterem es Hotel,22.48,67.43
387531,Klaraborg i Borgvik,79.81,79.81
387544,Hotel Cerbul,18.81,24.35
388506,Hotel Restaurant La Croix Verte,116.16,183.92
388561,Chateau La Fleunie,96.02,248.94
388677,Casa Rural Morada Maragata,40.18,60.28
388838,Hotel S-centrum Decin,52.47,124.71
388945,Hotel Relax,54.84,242.05
388982,Hotel Restaurant La Manse,70.33,125.58
389202,Hotel Osada Karbowko Wellness & SPA,106.93,164.91
389257,Hotel-Bodega Finca de Los Arandinos,170.79,276.27
389277,Landhotel Hirschen,125.84,232.32
389786,Miramonti Hotel,45.21,90.42
389811,Camping Gavin,66.86,109.4
389814,Residenza Torre di San Martino,115.54,286.32
389868,The Fairfax Arms,142.55,237.58
389884,Hotel Garni an der Reuss,96.32,154.42
389960,Rotonda,106.48,217.8
390137,Hochberghaus,112.72,112.72
390216,Olerhof,59.1,149.09
390442,Hotel Des Voyageurs,40.18,55.25
390710,Brit Hotel Clermont-l'Herault,61.28,66.31
390772,La Table Alsacienne,96.05,137.22
390908,Mestsky Hotel Dorinka,16.33,96.1
390933,Hotel Praded Jesenik,14.8,14.8
391001,L'Echappee Belle,98.45,168.78
391014,Hotel Les Oliviers,88.21,118.54
391089,Hotel Perla,63.29,70.33
391250,Landgasthof Lowen,58.87,90.88
391418,Hotel Ondras,41.45,94.18
392197,Kokkinos Boutique Hotel,75.59,131.26
392207,Chalet Mont Bijou,623.39,623.39
392367,Hotel Sport Mlada Boleslav,27.87,62.46
392395,Hotel la Casa del Abuelo,60.28,70.33
392451,Astor Hotel,54.25,130.6
392815,Hotel The Originals du Moulin Niort (ex Inter-Hotel),75.35,101.8
393025,Hotel Le Robinie,59.28,120.55
393031,Hotel y Apartamentos Arias,53.24,68.71
393121,De Vere Cotswold Water Park,189.12,316.46
393304,Knipoch House Hotel,152.05,152.05
394972,Hotel Cremona Viale,60.28,80.37
394974,Hotel Belforte,51.23,82.38
395018,Hotel Del Parco Ristorante Loris,70.33,80.37
395028,Albergo da Annita,89.41,119.55
395227,Best Western Plus Hotel Modena Resort,71.33,189.88
395728,Hotel Basarab,29.9,37.11
396033,Hotel Cortijo Las Grullas,60.28,60.28
396068,Font del Pla Hotel Restaurant,47.72,57.27
396183,Aginaga Hotela,65.3,65.3
396745,Hotel Mirabeau,55.25,82.36
397078,Boutique Hotel Behi,31.12,93.02
397082,Hotel Bela Neda,25.64,41.25
397103,Family Hotel Djogolanova Kashta,34.11,44.48
397104,Rooms in Velina House,23.57,37.07
397368,Hotel Fontana,37.0,104.25
397687,Hotel Vauban,75.35,95.44
397926,Hotel AlpinaRos Demming,77.46,284.02
397975,Bernhard's,67.13,139.43
398439,The Kings Head Hotel,68.64,142.55
398443,Three Horseshoes Inn,73.86,100.25
398452,West Point Hotel Bed and Breakfast,70.96,182.46
398455,Imperial Hotel,42.23,73.91
399224,Hotel Zorbas Beach Village,44.13,62.63
399328,Dockside Hotel,76.01,147.82
400144,Hotel Richmond,80.37,202.4
400606,Ibis London Shepherds Bush Hotel,73.18,136.21
400607,Novotel London Blackfriars Hotel,316.78,398.09
400783,Steigenberger Airport Hotel Amsterdam,99.1,369.04
400864,The Maemar Hotel,63.36,84.48
401196,Hampton by Hilton London Luton Airport Hotel,64.62,149.94
401198,Hampton by Hilton York Hotel,72.69,125.66
401291,Monte Xisto Hotel Rural,115.73,224.15
401293,Best Western Hotel Berlin Kurfuerstendamm,96.02,96.02
401767,Aromi Piccolo Hotel,72.33,121.56
402243,Campiglione Hotel,70.33,435.12
402698,Diana Hotel,50.12,62.66
403816,Hotel de la Poste,44.2,59.28
403951,Hotel His Majesty,64.04,64.04
403953,Hotel Horni Dvur,84.56,123.0
404180,Hotel Restaurant L'Atlantique,55.14,86.0
404215,Hotel Saint Jean,62.28,72.33
404789,Le Parc er Greo,129.59,164.76
404795,Le Petit Mas De Marie,82.38,109.5
404933,Lulworth Cove Inn,116.16,142.55
405003,Maplestone,120.38,158.39
405153,Mount Stuart Hotel,68.64,147.83
405283,Ottmanngut Suite and Breakfast,142.66,142.66
405338,Parc Hotel Billia,110.51,344.59
406280,The Plume of Feathers,95.03,190.07
406303,Themis Hotel,26.29,32.13
406360,Trooperstown Woodlodge B&B,107.11,107.12
406582,Villa Sardegna,40.18,75.35
406935,Motel Schmotel,100.32,137.27
407129,Marsham Arms Inn,76.03,158.39
407215,Nyerges Hotel Thermal,48.19,109.55
407438,Hotel Mogador,135.63,282.11
407532,Palace Hotel Legnano,218.35,246.57
407609,Wyndham Garden Hotel Duesseldorf City Centre Koenigsallee,77.26,147.68
407873,Hotel Villa Michelangelo,95.44,502.32
407910,Best Western Burns Hotel London,88.67,214.51
408067,Mercure Darlington Kings Hotel,71.8,134.1
408092,Ibis Styles Bordeaux St Medard Hotel,60.28,85.39
408293,The Bridge Hotel Chertsey,83.41,141.5
408545,Hotel Le Marcel,169.93,382.77
409583,The Richmond Hill Hotel,88.7,361.13
410169,Harbour Inn,67.57,158.39
410179,Auberge de la Gare,145.06,145.2
410181,Bio City Hotel,66.31,233.08
411077,Hilton Cambridge City Centre,129.25,492.65
411119,Novotel Marseille Centre Prado,105.49,179.83
413739,Twenty-Six,97.15,97.15
413817,Dalziel Park Hotel,79.19,137.27
413857,Elme Hall Hotel,74.97,258.71
413896,Glencree,82.36,98.83
414138,Pretty Maid House B&B,87.65,114.04
414208,The Bell Inn Stilton,96.08,160.5
414239,The Lincolnshire Poacher Inn,63.36,147.83
414245,The Old School,82.36,114.04
414316,Wensleydale Farmhouse B&B,100.32,105.59
414542,Hotel Monasterio de San Martin,120.55,180.84
414544,Hotel Palace Sevilla,55.7,187.87
414548,Hotel Caracas Playa,62.85,112.76
415101,Hotel Soliva,47.43,309.76
416476,Hotel Rotlechhof,144.67,280.3
417232,Hotel Villa Select,218.93,218.93
418074,Family Hotel Piter,35.98,51.56
418168,Lilia 2 Hotel,18.41,41.31
420899,Hotel-Restaurant Krabbendam,55.76,55.76
421349,Hotel Koziol,26.18,80.91
421352,Hotel Maria,21.42,38.07
421538,Cardal Hotel,46.91,104.25
421686,Faleza Hotel by Vega,51.32,88.89
423823,Aux Quatre Vents,55.25,68.32
424244,Hotel Atrium Suresnes,125.68,272.37
424273,Hotel de L'Europe,61.28,61.28
424310,Hotel L'Alsace,47.22,82.38
424397,ibis budget Concarneau,44.4,52.24
424401,ibis budget Lisieux,47.22,55.25
424556,Hotel Internazionale Gorizia,55.25,130.6
424748,Il Giardino degli Aranci,38.18,89.41
425118,Sporthotel Kurzras,95.44,194.89
425316,Atputas komplekss Lilaste,19.74,98.67
426110,Elena Noli,85.39,85.39
426146,Garni Reider,43.2,125.58
426157,GG8 Restaurant & Hotel,50.23,110.51
426409,ibis budget Orleans Sud,44.2,129.59
426454,La Croix Verte,78.36,103.48
426740,Les Jardins du Forez,78.36,85.39
427825,Gaia Kaimaktsalan,45.76,45.76
430443,Hotel Hermes,56.47,109.05
431269,Bramslevgaard,94.48,213.12
431740,Spa Hotel Holiday,39.61,110.42
431830,Zornica Hotel,30.7,56.65
431851,Landgut am Hochwald,61.96,67.13
431906,Hotel Montenegro,24.21,51.9
432303,Hotel Anton,239.66,239.92
432407,Hotel Vitosha Tulip,28.1,82.6
433709,The Morrison Dublin A DoubleTree by Hilton Hotel,197.8,899.32
434063,Buly Arena Hotel,37.47,118.2
434987,Savona Hotel,47.52,95.03
435070,Parkhotel Eschweiler,56.8,143.56
435112,Motel Gilau,20.39,30.7
435166,La Reggia Sporting Center Hotel,119.29,145.67
435275,Hotel Ristorante Le Clarisse,63.29,135.63
435371,Hotel l'Avenue,60.28,83.38
435382,Hotel la Marmotte,58.77,65.3
435607,Design Hotel Rangau,64.14,102.24
437403,Rosebank Guest House,91.87,147.83
439630,Rivendell,51.74,83.41
439637,RIESENjunior by Trip Inn,54.74,81.59
440283,Hotel de Seze Bordeaux,165.76,644.98
440315,Milton House bed and breakfast,89.75,110.87
440952,Dynevor Arms,60.44,120.38
442211,Le Chateau de Sable Hotel,144.97,247.86
442306,Best Western Hotel Prince Montmartre,85.09,187.87
442528,Best Western Plus Hotel Arcadia,79.64,275.15
442720,Hotel Astrid,10104.05,12630.07
442726,Hotel Bova,59.91,164.22
442780,Hotel Moresco,24.41,99.51
442859,Larkfield Priory Hotel,65.09,152.05
443033,Hotel Azur,131.61,234.72
443352,Hotel Modus Vivendi,67.51,95.65
443428,Hotel Airport,68.31,89.41
443565,Dorint Hotel Koeln-Junkersdorf,89.66,158.02
443882,The Belgrave Hotel,124.91,281.57
444557,247Hotel,47.52,68.64
444559,Barokk Hotel Promenad,107.7,156.4
444576,Shore View Hotel,51.87,680.96
444854,The Z Hotel Liverpool,36.96,75.49
445464,Belgrave Hotel Oval,67.56,128.16
445737,Forest Hill Paris Meudon-Velizy Hotel,73.14,163.75
445738,Number Four Boutique Hotel,54.9,213.29
445980,Agave Hotel,90.65,90.65
446724,Barcelona Airport Hotel,87.77,210.97
448855,The Rockside,88.7,137.99
448876,Hotel du Port,75.35,120.55
448936,Hotel La Bergerie,68.32,68.32
448967,Hotel Perenika,25.69,35.02
448973,Djudjeva Kyshta Hotel,28.2,56.72
449052,Portbeg Holiday Homes at Donegal Bay,240.98,240.98
449072,Claxton Hotel,50.68,95.03
449120,Diamonds Villa,169.79,212.24
449128,Family Hotel Natalis,10.16,30.95
449149,Le Cote Vert,166.8,364.89
449175,Les Pleiades Hotel&Spa Restaurant,135.63,426.96
449405,ibis budget Lorient Caudan,43.4,48.23
449428,Hotel Terminus,72.33,90.42
449525,The Three Tuns,52.8,68.64
449898,Castle Lodge,51.74,142.55
450067,Hotel Restaurant La Grenouillere,61.28,79.37
450168,The Enniskillen Hotel and Motel,73.91,158.39
450259,81 The Prom Hotel,99.78,205.9
450285,Hotel de la Poste,45.21,65.3
450638,"The Angel Inn, Petworth",116.16,153.1
450678,Highgarry Cottage,174.23,174.23
450689,Courtyard Aberdeen Airport,42.24,72.86
451088,Bankton House Hotel,58.08,167.89
451156,The Esplanade Hotel,33.26,179.51
451467,King Arthurs Arms,101.41,217.31
451809,MT Hotel,78.36,78.36
451909,Hopbine House,76.03,107.7
452089,ATC Jadran,19.22,44.2
452184,Kames Hotel,68.64,147.83
452193,Hotel Wilgenhof,93.83,130.31
452456,Pensiunea Balea Sat,153.21,153.21
452556,Achray House Hotel,78.14,210.12
452661,Panshill Leisure,52.27,263.98
452676,Apollon Hotel,34.08,38.94
452761,La Ferme du Relais Bigouden,68.32,93.44
452798,Costantiana Beach Hotel Apartments,34.16,79.08
452814,Hotel Xibana,45.21,55.25
452887,Hotel Campanile Lille Euralille,56.26,150.41
453445,Hotel du Port,113.74,191.36
454186,Hotel La Montanara,118.54,118.54
454227,Wildercombe House,71.81,98.73
454466,Strandhotel Miramar,96.05,272.66
454523,Hotel Fama,22.48,29.94
454578,The Fat Lamb Country Inn,122.49,138.33
454614,Hotel Baroko,48.44,93.86
455306,Hotel La Vecchia Reggio,52.49,55.25
455351,Best Western Hotel Perla del Porto,66.31,240.1
455360,Hotel Locanda Le Tre Oche,70.33,70.33
455569,Eco Hotel Bonapace,47.65,128.8
455610,Hotel Osteria della Pista,71.58,251.15
455831,Wetherby Seaview House Bed & Breakfast,92.92,178.45
457512,Adonis Bayonne Hotel,48.81,123.37
457576,Malungs Camping,50.17,68.41
458247,Glyntwrog House,107.7,152.05
459864,Best Western Pontypool Metro Hotel,65.57,99.25
459949,Hotel Skala,29.79,151.83
459993,Hotel am See,91.92,143.56
460012,Hotel Adler,59.91,105.35
460062,Insel-Hotel Lindau,84.33,175.79
460445,Four Points by Sheraton Kecskemet Hotel & Conference Center,94.54,226.61
460586,Hotel Poma,62.79,125.58
461352,Pytloun Design Hotel,40.36,92.25
461481,Best Western The Grange at Oborne,103.59,189.62
461484,AC Hotel Nice,156.72,346.6
461626,Holiday Inn Express Dijon,75.6,90.42
461749,Relais des Trois Chateaux Hotel,115.76,238.09
462159,Hotel Playa de Valdelagrana,82.27,158.23
462471,Kyriad Douai Dechy,45.71,12556.64
462569,Holiday Inn Express Birmingham-Snow Hill,114.04,178.33
462763,Grafton House,42.76,100.32
462884,Angus Hotel,115.1,144.67
463111,Valentine City Centre Guest House,136.59,202.1
463362,DoubleTree by Hilton Hotel Bristol City Centre,126.71,182.46
463459,Ashlea Guest House,80.25,103.48
464063,Bentley Hotel,41.18,87.65
464161,Albergo Mazzanti,90.63,176.82
464456,Caledonia Hotel,75.27,83.63
464842,Caraiman Mamaia,108.83,108.83
464985,Castlemead Restaurant & Rooms,80.78,163.67
465320,Deanwater Hotel,79.19,100.32
465846,Gleniffer Hotel,42.23,105.59
465970,Hampton by Hilton Birmingham Jewellery Quarter,138.22,252.16
466492,St Georges Pimlico Hotel,122.96,196.4
466516,Hotel Suprem,35.41,46.48
466855,La Porte Angevine,58.27,66.31
467095,Hotel Aigli,38.94,82.76
467236,Hotel Domus Pacis,53.24,60.48
467294,Hotel Fray Tomas,37.18,55.25
467346,Hotel Hp Castelldefels,38.18,38.18
467365,Hotel Kirchenwirt,160.74,160.74
467573,Hotel Schapfle,80.56,139.43
467627,Hotel Tuto,30.14,75.35
467706,ibis budget Ajaccio,58.45,58.45
467767,Casual Valencia De Las Artes,131.1,191.28
467836,Kiltearn Country House,119.11,247.09
468509,Mondim Hotel & Spa,62.55,93.83
468657,Old Kings Arms Hotel,68.64,100.32
469239,The Woodside Hotel,116.16,116.16
469250,The Smugglers Inn,105.59,158.39
469275,The Lodge Guesthouse,82.76,131.44
469280,The Kemps Guest House,39.03,82.36
469289,The Glastonbury Townhouse,79.19,93.98
469327,The Abbey Hotel and Apartments,88.72,297.14
469769,The Wight Bay Hotel,29.56,85.53
469786,Hotel Kunstmuhle,65.07,91.92
469890,Residence Hoteliere Helios,49.23,49.23
469968,Queens Leriotis Hotel,38.94,87.62
470042,Premiere Classe La Rochelle - Les Minimes,34.48,50.83
470162,Posada la Trebede,51.99,63.54
470405,Parc-Le-Breos House,125.66,173.18
470439,Hotel Rossetti,80.37,110.51
470465,Innside Dusseldorf Hafen,78.49,231.35
470683,Templomvolgy Resort Matrakeresztes,84.29,84.29
470743,Hostellerie le Clos du Cher,94.43,126.59
471699,Hotel Wasik,28.55,38.07
471777,Hotel Queen,18.15,36.95
471814,Mela Verde,49.04,95.18
471916,Hotel Deutsches Haus,51.64,82.63
471937,Hotel Costa Verde,44.2,75.35
471950,Hotel Cardeo,38.18,48.23
471966,Hotel Bellevue,68.32,96.44
471970,Hotel Balfagon,45.21,65.3
471983,Hotel and Restaurant Fru Larsen,112.36,141.96
472023,Enfasis Hotel,38.42,65.3
472194,Buccleuch Arms,73.91,125.66
472212,The Allan Ramsay Hotel,62.3,316.78
472757,The White Swan,73.91,103.48
473489,La Grange de Marie,60.28,80.37
473545,La Cascade,80.37,113.2
473861,Ethno Village Stara Lonja,44.0,78.24
474257,Boreland Farm,57.02,139.38
474292,Balneario Pozo de la Salud,66.62,148.78
474639,The Black Swan,89.75,153.1
474675,Hotel Abasto,63.21,247.87
474743,Afkos Grammos Boutique Hotel Resort,70.25,103.2
474762,Chirnside Hall Hotel,105.59,205.9
474774,Laigh Tarbeg B&B,82.36,82.36
474915,Hotel Scala,57.94,107.11
475112,Park Hotel Elizabeth,52.0,104.42
475195,Cumulus Hotel,29.29,63.53
475216,Roman Plaza,48.07,130.06
475264,The Old Mill Bed and Breakfast,84.48,84.48
475272,Hotel Cynamon,30.7,42.59
475278,Hotel Santa Margarida,44.48,148.19
475281,Black Bull Inn,50.68,84.48
475328,Labedz Hotel Karczma Ilawa,40.69,73.77
475350,Hotel Villa Hubertus Kutno,41.64,76.15
476450,Hotel Le Loft,62.89,73.33
476475,The Robertson Arms Hotel,63.36,89.75
476533,The Bingham Townhouse,79.19,89.75
476594,Le Saint Sebastien,59.28,74.34
476705,Hotel le Bellevue,80.37,120.55
476839,The Dundas Arms,89.75,121.43
477172,Hotel Lipowy Most,142.54,142.54
477277,Tumbling Weir Hotel,89.75,126.71
477361,The Wight Mouse Inn,72.86,116.16
477453,B&B Fruithof Tack,73.4,230.5
477481,The May Garland Inn,59.14,91.87
477484,The Old House Inn,168.94,168.94
477954,Summer Lodge Country House Hotel,215.67,469.88
478224,Montrose Guest House,47.52,89.75
478548,Ibis Styles Amsterdam CS Hotel,107.47,117.61
478887,Lastingham Grange Country House Hotel,209.07,232.3
479249,Park Inn by Radisson Gottingen,76.43,190.03
479703,Hotel Alvariini,85.39,139.64
479756,Hotel Villa Aljustrel,52.13,135.53
479904,"Hotel Menge ""An der Schlacht""",87.79,122.9
480087,Vallemare Residence e Residenza,516.6,553.5
480248,Yeoldon House Hotel,137.27,153.1
480330,Augustin Marie,77.93,102.83
480878,Corick House Hotel & Spa,157.34,189.01
481047,Kinga Hotel Wellness,55.85,110.71
481092,ibis Deauville Centre,140.65,174.8
481331,Wieting's Hotel,56.8,134.27
481945,Le Vallon,56.26,85.39
482047,Oreg Malom Hotel,37.46,42.15
482219,Hotel Hudelist,49.73,115.54
482433,Hotel Relais Agli Olivi,130.6,166.77
482464,Grand Hotel de Bretagne,52.24,106.49
482833,Hotel Pantheon,43.82,58.43
483349,Hotel Sokolowska Airport Modlin,41.76,82.1
483616,Tulip Inn Eindhoven Airport,67.71,101.38
483958,ibis budget Sheffield Arena,28.51,59.55
484323,Hotel Alle Vecchie Arcate,69.32,114.53
484988,Thorn House B&B,95.03,95.03
485173,Ibis Barcelona Santa Coloma,59.33,106.42
485428,Hotel Pian del Sole,140.65,140.65
485549,Schade's Wohlfuhlhotel,74.88,116.71
485639,Schwarzer Adler,94.43,188.87
485962,Gwesty Minffordd Hotel,47.52,95.03
486124,Hotel Haus Vorst,73.43,112.58
486382,Hotel Vaslui,26.17,30.19
486793,Hotel Folwark,27.63,61.63
486897,Hotel Kavun,67.13,242.71
486907,Leonardo Hotel Edinburgh Murrayfield,57.22,182.68
487114,Cringletie House,201.12,382.13
487555,Hotel Le Malown,160.74,351.62
487862,Ibis Styles Rouen Centre Cathedrale (Opening April 2016),69.32,96.44
487925,Landhotel Saarschleife,85.72,187.97
488049,Botleigh Grange Hotel,116.86,186.49
488144,Ibis Styles Bethune Bruay Hotel,49.23,69.32
488346,Royal Boutique,41.6,78.68
489953,Tyrrenian Park Hotel,61.28,101.14
490020,Holiday Inn Huntingdon Racecourse,104.54,225.99
490323,Greenbanks Hotel Norfolk,83.41,190.07
490353,Lipa Hotel es Etterem,40.27,97.4
490391,Baia Azzurra Hotel,45.37,166.34
490534,easyHotel The Hague,52.72,100.38
490541,Premiere Classe Thionville Hotel,52.74,58.67
490595,The Hoste Luxury Boutique Hotel,123.54,215.41
490773,Hotel Premier,45.21,54.25
490951,Casual del Cine Valencia,57.76,165.61
490967,Posada La Casona de Valbuena,44.2,115.54
491260,Hotel Rural Lacelo,65.3,80.37
492181,Hotel Restaurant Stadhuis,62.55,109.47
493057,Complex Turistic Darina Sancraiu de Mures,48.69,48.69
493258,Hotel Rakoczi,44.02,54.6
493703,Hotel Nautilos,78.38,78.38
493825,Termalhotel Martfu,79.57,116.03
494076,Hotel Middelpunt,112.39,265.85
494924,The Glenmoriston Townhouse Hotel,55.02,171.06
494990,Hotel Club Trio,43.73,114.97
495053,Hotell Smedjan,99.42,99.42
495418,The Pearl Hotel,51.74,89.75
496266,Hotel La Vinaigrerie,69.32,99.46
497501,The Breverton,55.75,164.72
498184,Story' Inn,50.82,108.17
498381,Westerton B&B,126.71,126.71
498735,Hotel La Villa,40.18,85.39
498756,Premier Inn Aberdeen Airport - Dyce,51.74,51.74
499313,Hotel Le Pole Europeen,92.78,135.53
499315,Hotel La Beauze,80.37,100.46
499368,The Red Lion Inn,100.32,168.94
499377,Hotel Diana,75.91,102.76
499441,Carre Py' Hotel,82.38,107.49
499497,Marine Hotel Ballycastle,114.93,258.71
499509,Weston House,101.37,107.7
500920,Compasses Inn,95.03,168.94
500944,Avon Causeway Hotel,73.86,109.82
500950,ibis Ciboure Saint-Jean-de-Luz,70.33,93.33
501598,Hotel Afrodita Dimitrovgrad BG,31.08,51.79
501644,Hotel Kuchalber Hof,65.07,97.08
501646,Nellie Dee's,68.15,97.37
501741,Hotel Xavin Restaurant Wellness,55.25,83.35
501995,Croyde Bay Hotel or Self Catering,527.97,527.97
502113,Hotel Delta am Potsdamer Platz,59.69,168.73
502198,Doubletree by Hilton Dundee Hotel,57.45,278.76
502239,Best Western Hotel d Europe et d Angleterre,86.4,183.73
502279,Hotel Nogal,64.38,200.32
502864,The Original Rosslyn Inn,95.03,147.83
503028,Sporthotel Igls,58.27,626.04
503105,Castle Park Guest House,95.03,114.04
503189,No 53 Frederick Street Bed and Breakfast,84.48,143.6
504602,Katerina Suites,58.43,107.11
505729,Albergo Eden,48.23,170.79
506227,B & B Hotel Prague -City,67.27,76.88
506645,Brauereigasthof Schaffler,71.27,144.59
507806,Ekali Hotel,55.76,96.32
508813,Apartments and Rooms Kaja,105.46,243.73
509349,Hotel Ar Iniz,72.33,105.48
509363,Hotel Atlas,118.67,118.67
509402,Hotel Boutique & Restaurant Cherie,63.58,98.66
509419,Hotel Calzavecchio,83.01,292.85
509463,Hotel de Francia y Paris,49.44,141.45
509504,ibis Styles Castres,63.29,69.32
509667,Hotel Le Bellevue,73.33,73.33
509696,HLL Hotel Lungolago Lecco,69.32,230.06
509744,Hotel Moderno,75.35,75.35
509788,Hotel Ostrawa,28.55,66.63
509804,Hotel Paradiso,40.18,65.3
509878,Hotel Ristorante Cantina Langelina,50.23,130.6
509977,Torremirona Relais Hotel Golf and Spa,43.2,155.72
510048,Hotel zum weissen Ross,66.1,129.1
510124,ibis budget Nantes Sainte Luce,39.18,68.32
510130,Ibis budget Wien Messe,61.4,85.08
511011,Best Western Lothersdale Hotel,46.57,131.99
512315,The Tankerville Arms,110.87,153.1
513113,Windermere Boutique Hotel,263.98,337.9
513360,Platinum Hotel & Casino,66.46,178.19
513605,QC Terme Monte Bianco,234.08,330.52
513672,Quorn Grange Hotel,91.23,269.89
513810,Residence Moderno,44.2,150.69
514009,Rothmans B&B,64.03,147.4
514438,Epic Apart Hotel - Seel Street,100.51,296.19
514935,Alt-Connewitz Hotel Leipizg,45.26,175.26
515437,Raasay House,168.94,362.98
515850,Balneohotel Lyulyatsi,36.01,36.01
516293,Hotel Victor Hugo,81.38,135.63
516341,Au Faisan Dore,61.28,61.28
516635,Giga Hotel,50.23,95.44
516711,Hotel Het Galjoen,70.97,202.77
516942,Charlemont House,82.36,380.13
516955,Cockliffe House,79.19,110.87
517341,Summerfields House,107.7,126.71
517461,Hotel Bucintoro,120.55,321.48
517643,Hotel Le Berger,46.91,118.85
517655,Woodbine City Rooms,63.36,84.48
518171,Hotel Conte Ruggero,40.18,80.37
518371,Relais Del Borgo,135.63,251.15
518420,Taormina Palace Hotel,72.33,175.81
518848,ibis budget Toulon centre,42.19,49.23
518911,Apparthotel Odalys Lyon Confluence,68.06,222.82
519116,Hotel Beau Rivage,62.28,115.54
519520,Ramada Feusisberg Hotel,111.15,284.59
520330,Greenvale Hotel,107.7,176.13
520361,The Black Horse Inn,66.52,70.75
520396,Old Radnor Barn,100.32,158.39
521153,Findomik Cottages,140.65,155.72
521690,Hotel O Castelo,28.03,87.4
522694,ANTIK Old Town hotel,66.8,123.96
522702,Dumbleton Hall Hotel,189.01,225.96
522841,Amber Springs Hotel,194.73,262.89
522975,TRYP By Wyndham Antwerp,64.06,190.32
522993,Victoria Warehouse Hotel,63.36,99.0
523992,Marquis Hotel,84.48,95.03
525300,The Stables- Deer Park Farm,79.19,121.43
525306,Hotel Sanvit Lake Resort & Spa,23.8,76.15
525729,Hotel Zorza,23.8,59.49
526004,Hotel Morze,53.4,94.23
526320,Hotel Skaut,22.61,59.49
526651,Swanson House,114.04,177.39
526690,The Tontine,72.86,93.98
528069,Albergo Little Garden,52.44,83.38
528472,Hotel Tre Monti,35.16,104.49
528507,Hotel Renato,63.94,140.65
528664,Bloc Hotel Gatwick,76.33,194.29
529124,Findon Manor Hotel,98.2,114.04
529409,Qualys-Hotel Nanterre-Paris La Defense,81.38,206.75
529587,Sudbury House Hotel,103.48,240.75
529665,Hotel Alea,78.49,144.59
529928,Albergo Del Pino,40.18,95.44
530149,Hotel Aurelia,35.16,50.23
530159,Hotel Frejus,60.28,85.39
530627,Best Western Plus Hotel Isidore,129.21,250.32
530677,Hotel Les Rosiers,43.2,60.28
530780,Premiere Classe Lyon Est - Saint Quentin Fallavier Airport,31.34,68.22
530827,Altenberger Hof,104.98,129.3
530987,Sa 'E Jana,50.23,120.55
531868,Burnbank,79.19,79.19
531916,Redwings Lodge Baldock,49.42,54.9
531929,The Carlton Hotel,60.14,121.96
531943,The Red Lion Hotel by Marston's Inns,68.64,79.19
532079,Livingston Lodge Hotel,51.74,85.53
532372,Mercure Hotel Berlin Am Alexanderplatz,76.43,170.41
532460,Asterias Village Resort Hotel,20.33,85.52
532479,DoubleTree By Hilton Hotel Edinburgh City Centre,111.29,368.99
533177,Hotel Elmontex,48.05,57.65
533585,Hotel Eden,26.56,55.33
533645,Hotel du Roy,50.23,75.35
533768,Lisdoonie Hotel,47.52,73.91
534187,La Souliere,85.39,90.42
534440,The Popinjay Hotel and Spa,100.31,116.16
534693,Redwings Lodge Dunstable,38.01,68.64
534932,Ardarroch Cottage,89.75,100.32
535229,The Cathedral Guest House,63.36,126.71
535471,Hotel Nikolai Residence,92.74,235.82
535830,Old Mill Hotel by Good Night Inns,121.43,148.86
536243,Villa Maria,51.07,111.02
536561,Tea Palace Hotel,50.23,95.44
537211,Porta Del Tempo,55.51,93.93
537329,Appart'City Amiens Gare,60.28,163.29
537718,Le Relais Bigouden,54.25,90.42
538436,Hosteria Casa Flor,55.25,55.25
539137,Hotel Medebach,64.03,69.2
539145,Hotel Road-House,41.31,61.96
539149,Hotel-Restaurant Schwedi,149.75,149.75
539321,Waldhotel Friedrichroda,53.71,56.8
539386,Porto Arimar Hotel,43.82,63.29
539403,Saint Spiridon Hotel,41.11,80.95
540602,Hotel Angie,47.59,71.39
540638,ibis Styles Liverpool Centre Dale Street,36.96,58.08
540679,Mansfield Manor Hotel,71.27,100.32
540685,Meadow Farm by Marston's Inns,52.8,52.8
540718,St. Davids Cross Hotel,68.64,142.55
540831,St Margarets Hotel,87.43,153.95
540854,The Carlton Lodge,90.81,124.86
540871,The Wychwood Inn,104.54,158.39
542452,Hotel Occidental Santa Cruz Contemporaneo,73.68,262.26
542686,Hotel Trebeltal,77.36,110.51
543319,Hotel de la Mere Michelet,60.28,83.38
543590,Shire Lodge,65.89,95.03
544689,Maldron Hotel Belfast International Airport,78.14,130.93
545149,ibis Birmingham International Airport - NEC,91.87,137.27
545308,Kyriad Lyon Est Meyzieu ZI Airport,51.67,106.25
545827,Dorint Airport-Hotel Zurich,146.99,291.25
546421,Best Western Plus Lochardil House Hotel,60.28,160.07
547240,Best Western Plus Milford Hotel,56.07,93.98
547252,The Victoria Hotel,68.63,104.54
